URL,Domain,Anchor
/watch?v=_EmJDTDEdzc&t=3s,watchvemjdtdedzct3s,0:03
/watch?v=_EmJDTDEdzc&t=13s,watchvemjdtdedzct13s,0:13
/watch?v=_EmJDTDEdzc&t=26s,watchvemjdtdedzct26s,0:26
/watch?v=_EmJDTDEdzc&t=36s,watchvemjdtdedzct36s,0:36
/watch?v=_EmJDTDEdzc&t=51s,watchvemjdtdedzct51s,0:51
/watch?v=_EmJDTDEdzc&t=64s,watchvemjdtdedzct64s,1:04
/watch?v=_EmJDTDEdzc&t=76s,watchvemjdtdedzct76s,1:16
/watch?v=_EmJDTDEdzc&t=88s,watchvemjdtdedzct88s,1:28
/watch?v=_EmJDTDEdzc&t=100s,watchvemjdtdedzct100s,1:40
/watch?v=_EmJDTDEdzc&t=113s,watchvemjdtdedzct113s,1:53
/watch?v=_EmJDTDEdzc&t=124s,watchvemjdtdedzct124s,2:04
/watch?v=_EmJDTDEdzc&t=136s,watchvemjdtdedzct136s,2:16
/watch?v=_EmJDTDEdzc&t=145s,watchvemjdtdedzct145s,2:25
/watch?v=_EmJDTDEdzc&t=155s,watchvemjdtdedzct155s,2:35
/watch?v=_EmJDTDEdzc&t=165s,watchvemjdtdedzct165s,2:45
/watch?v=_EmJDTDEdzc&t=179s,watchvemjdtdedzct179s,2:59
/watch?v=_EmJDTDEdzc&t=191s,watchvemjdtdedzct191s,3:11
/watch?v=_EmJDTDEdzc&t=204s,watchvemjdtdedzct204s,3:24
/watch?v=_EmJDTDEdzc&t=216s,watchvemjdtdedzct216s,3:36
/watch?v=_EmJDTDEdzc&t=233s,watchvemjdtdedzct233s,3:53
/watch?v=_EmJDTDEdzc&t=249s,watchvemjdtdedzct249s,4:09
/watch?v=_EmJDTDEdzc&t=259s,watchvemjdtdedzct259s,4:19
/watch?v=_EmJDTDEdzc&t=272s,watchvemjdtdedzct272s,4:32
/watch?v=_EmJDTDEdzc&t=285s,watchvemjdtdedzct285s,4:45
/watch?v=_EmJDTDEdzc&t=295s,watchvemjdtdedzct295s,4:55
/watch?v=_EmJDTDEdzc&t=307s,watchvemjdtdedzct307s,5:07
/watch?v=_EmJDTDEdzc&t=325s,watchvemjdtdedzct325s,5:25
/watch?v=_EmJDTDEdzc&t=337s,watchvemjdtdedzct337s,5:37
/watch?v=_EmJDTDEdzc&t=349s,watchvemjdtdedzct349s,5:49
/watch?v=_EmJDTDEdzc&t=363s,watchvemjdtdedzct363s,6:03
/watch?v=_EmJDTDEdzc&t=377s,watchvemjdtdedzct377s,6:17
/watch?v=_EmJDTDEdzc&t=387s,watchvemjdtdedzct387s,6:27
/watch?v=_EmJDTDEdzc&t=402s,watchvemjdtdedzct402s,6:42
/watch?v=_EmJDTDEdzc&t=416s,watchvemjdtdedzct416s,6:56
/watch?v=_EmJDTDEdzc&t=429s,watchvemjdtdedzct429s,7:09
/watch?v=_EmJDTDEdzc&t=441s,watchvemjdtdedzct441s,7:21
/watch?v=_EmJDTDEdzc&t=453s,watchvemjdtdedzct453s,7:33
/watch?v=_EmJDTDEdzc&t=463s,watchvemjdtdedzct463s,7:43
/watch?v=_EmJDTDEdzc&t=474s,watchvemjdtdedzct474s,7:54
/watch?v=_EmJDTDEdzc&t=484s,watchvemjdtdedzct484s,8:04
/watch?v=_EmJDTDEdzc&t=494s,watchvemjdtdedzct494s,8:14
